ModelId,BrandName,ModelName,Exclude,CarType
11502,AEBI,TT,,С
14315,AGCO,DT Series,,C
14523,AL-GHAZI,480,,C
14524,AL-GHAZI,640,,C
14522,AL-GHAZI,GHAZI,,C
9749,ALLGAIER,Series A,,C
9753,ALLGAIER,Series R,,C
36357,AMW,Series 1600,,C
36263,AMW,Series 2500,,C
36264,AMW,Series 3100,,C
36265,AMW,Series 4000,,C
36266,AMW,Series 4900,,C
11089,ARMATRAC,Serie-11,,C
14016,ASHOK LEYLAND,BOSS,,Г
14017,ASHOK LEYLAND,ECOMET,,Г
13997,ASHOK LEYLAND,U-TRUCK,,Г
8939,ASKAM (FARGO/DESOTO),8 Litre,,С
8959,ASKAM (FARGO/DESOTO),AS 950,,С
8933,ASKAM (FARGO/DESOTO),Hi-Ex,,С
6989,ASTRA,HD 7,,С
6991,ASTRA,HD 7-C,,С
6990,ASTRA,HD 8,,С
37778,ASTRA,HD 9,,С
5549,AVIA,D-Line,,Г
10483,AYATS,Bravo,,А
37893,BASAK,2000 Series,,С
37894,BASAK,BE Series,,С
9758,BAUTZ,Series AS/AL/AW,,С
11080,BCS,VOLCAN,,С
13511,BEDFORD,TK/MK,,С
14375,BELARUS,Series 100,,С
14378,BELARUS,Series 1000,,С
7575,BERKHOF,Ambassador,,А
14598,BHARATBENZ,HEAVY-DUTY,,С
14597,BHARATBENZ,MEDIUM-DUTY,,С
11090,BM TRACTORS,BETTER,,С
37620,BMC,ALYOS,,A
37087,BMC,BELDE,,A
37621,BMC,CONDOR,,A
8668,BMC,FATIH,,A
37080,BMC,HAWK,,A
37622,BMC,KARISMA,,A
8656,BMC,LEVEND,,A
37146,BMC,MEGASTAR,,A
37079,BMC,MIDILUX,,A
37623,BMC,NIFTY,,A
37078,BMC,PROBUS,,A
37077,BMC,PROCITY,,A
8649,BMC,PROFESSIONAL,,A
11230,BMC,SCHOOLBUS,,A
785,BOVA,Futura,,A
37818,BOVA,Jonkheere,,A
5582,BOVA,Lexio,,A
5580,BOVA,Magiq,,A
5581,BOVA,Synergy,,A
11091,BRANSON TRACTORS,Serie-00,,С
11092,BRANSON TRACTORS,Serie-10,,С
11093,BRANSON TRACTORS,Serie-20,,С
14834,BREDAMENARINIBUS,AVANCITY,,А
37626,BREDAMENARINIBUS,LANDER,,А
10484,BREDAMENARINIBUS,M-Serie,,А
14835,BREDAMENARINIBUS,VIVACITY,,А
14839,BREDAMENARINIBUS,ZEUS,,А
9761,BUCHER,Series D,,С
11098,CARON,Serie-CT,,С
14525,CARRARO,AGRICUBE,,С
11087,CARRARO,ERGIT,,С
11940,CASE IH,CS,,С
11101,CASE IH,FARMALL,,С
14541,CASE IH,JX-SERIES,,С
11102,CASE IH,MAGNUM,,С
11914,CASE IH,MAXXUM,,С
11911,CASE IH,PUMA,,С
11912,CASE IH,QUANTUM,,С
11932,CASE IH,STEIGER,,С
11103,CHALLENGER,MT,,С
38120,CHEVROLET,D-Series,,С
38266,CHEVROLET,N Series,,С
11082,CLAAS,ARION,,С
36884,CLAAS,ATOS,,С
11390,CLAAS,AXION,,С
11085,CLAAS,ELIOS,,С
36886,CLAAS,NEXOS,,С
36889,CLAAS,XERION,,С
8695,DAEWOO,NOVUS,,С
8696,DAEWOO,PRIMA,,С
714,DAF,45,,Г
1541,DAF,55,,Г
3653,DAF,65,,Г
4177,DAF,65 CF,,Г
587,DAF,75,,Г
4178,DAF,75 CF,,Г
755,DAF,85,,Г
4179,DAF,85 CF,,Г
837,DAF,95,,Г
4176,DAF,95 XF,,Г
11880,DAF,CF,,Г
4968,DAF,CF 65,,Г
4969,DAF,CF 75,,Г
4970,DAF,CF 85,,Г
10486,DAF,DB,,Г
1122,DAF,F 1000,,Г
3661,DAF,F 1100,,Г
1137,DAF,F 1200,,Г
3663,DAF,F 1300,,Г
1143,DAF,F 1400,,Г
3664,DAF,F 1500,,Г
1156,DAF,F 1600,,Г
1159,DAF,F 1700,,Г
1163,DAF,F 1800,,Г
1168,DAF,F 1900,,Г
579,DAF,F 2000,,Г
585,DAF,F 2100,,Г
591,DAF,F 2200,,Г
598,DAF,F 2300,,Г
600,DAF,F 2500,,Г
4570,DAF,F 2600,,Г
621,DAF,F 2700,,Г
624,DAF,F 2800,,Г
627,DAF,F 2900,,Г
629,DAF,F 3200,,Г
634,DAF,F 3300,,Г
644,DAF,F 3600,,Г
4566,DAF,F 500,,Г
1090,DAF,F 600,,Г
4567,DAF,F 700,,Г
1098,DAF,F 800,,Г
1109,DAF,F 900,,Г
11892,DAF,LF,,Г
4964,DAF,LF 45,,Г
4966,DAF,LF 55,,Г
1157,DAF,N 2800,,Г
4568,DAF,N 3300,,Г
1079,DAF,SB,,Г
37628,DAF,TB,,Г
11497,DAF,XF,,Г
5539,DAF,XF 105,,Г
4967,DAF,XF 95,,Г
36745,DENNIS,DAGGER,,С
36746,DENNIS,ELITE,,С
6599,DENNIS,ELITE 2,,С
37633,DENNIS,ENVIRO,,С
8534,DENNIS,OLYMPUS,,С
8697,DENNIS,PHÖNIX 2,,С
11104,DEUTZ-FAHR,AGROFARM,,С
9766,DEUTZ-FAHR,AGROKID,,С
9767,DEUTZ-FAHR,AGROLUX,,С
9768,DEUTZ-FAHR,AGROPLUS,,С
9803,DEUTZ-FAHR,AGROPRIMA,,С
9804,DEUTZ-FAHR,AGROSTAR,,С
9791,DEUTZ-FAHR,AGROTRON,,С
38673,DEUTZ-FAHR,AGROTRON K,,С
38675,DEUTZ-FAHR,AGROTRON L,,С
38674,DEUTZ-FAHR,AGROTRON M,,С
38677,DEUTZ-FAHR,AGROTRON TTV,,С
38672,DEUTZ-FAHR,AGROTRON X,,С
9807,DEUTZ-FAHR,AGROXTRA,,С
10206,DEUTZ-FAHR,D05,,С
10088,DEUTZ-FAHR,D06,,С
10127,DEUTZ-FAHR,D07,,С
9792,DEUTZ-FAHR,DX,,С
10203,DEUTZ-FAHR,F-Serie,,С
36985,DEUTZ-FAHR,Series 11,,С
36939,DEUTZ-FAHR,Series 5,,С
36940,DEUTZ-FAHR,Series 5 C,,С
36942,DEUTZ-FAHR,Series 5 G,,С
11105,DEUTZ-FAHR,Series 6,,С
11107,DEUTZ-FAHR,Series 7,,С
36992,DEUTZ-FAHR,Series 9,,С
38131,DODGE,E-Series,,Л
11015,DONGFENG,BISON,,С
11013,DONGFENG,KINGRUN,,С
11010,DONGFENG,KINLAND,,С
11012,DONGFENG,T-LIFT,,С
14791,DONGFENG (DFAC),EQ Series,,Г
11111,DONGFENG (DFAM),DF,,Г
3648,DRÖGMÖLLER,E-Serie,,А
11112,DURSO,FARMER,,Г
666,EBRO,F-Serie,,Г
647,EBRO,L-Serie,,Г
36232,EICHER,PRO SERIES 1000,,Г
36233,EICHER,PRO SERIES 3000,,Г
36234,EICHER,PRO SERIES 6000,,Г
36235,EICHER,PRO SERIES 8000,,Г
36236,EICHER,VE SERIES,,Г
8619,ERF,54,,Г
8620,ERF,64,,Г
1036,ERF,B-Serie,,Г
3609,ERF,C-Serie,,Г
5501,ERF,ECM,,Г
5502,ERF,ECT,,Г
8621,ERF,E-Serie,,Г
8622,ERF,M-Serie,,Г
37493,El Detalle,Gondola,,А
10212,FAHR,D,,C
10213,FAHR,GT,,C
10458,FAP,A-Series,,Г
10457,FAP,B-Series,,Г
11182,FAW (JIEFANG),J5,,Г
11181,FAW (JIEFANG),J6,,Г
10215,FENDT,Dieselross,,С
9784,FENDT,Farmer,,С
9996,FENDT,Favorit,,С
9785,FENDT,GT,,С
11116,FENDT,Vario,,С
11079,FERRARI AGRI,VEGA,,C
10260,FIAT,1000 Serie,,C
10246,FIAT,400 Serie,,C
10254,FIAT,500 Serie,,C
10255,FIAT,600 Serie,,C
9777,FIAT,66 Serie,,C
10256,FIAT,700 Serie,,C
10258,FIAT,800 Serie,,C
9778,FIAT,88 Serie,,C
10259,FIAT,900 Serie,,C
9779,FIAT,90 Serie,,C
9781,FIAT,94 Serie,,C
9780,FIAT,F-Serie,,C
9782,FIAT,L Serie,,C
9085,FIAT,Series 100,,C
9098,FIAT,Series 110,,C
1145,FIAT,Series 180,,C
9093,FIAT,Series 260,,C
9065,FIAT,Series 300,,C
9097,FIAT,Series 330,,C
9064,FIAT,Series 400,,C
9058,FIAT,Series 50,,C
9059,FIAT,Series 55,,C
9063,FIAT,Series 600,,C
9056,FIAT,Series 65,,C
9088,FIAT,Series 70,,C
9054,FIAT,Series 75,,C
9089,FIAT,Series 80,,C
9090,FIAT,Series 90,,C
9086,FIAT,Series C40,,C
9087,FIAT,Series C50,,C
9783,FIAT,TL Serie,,C
38125,FNM,HEAVY,1,
8503,FODEN TRUCKS,ALPHA,,Г
9994,FORD,5000-Serie,,С
9995,FORD,6000-Serie,,С
10362,FORD,7000-Serie,,С
682,FORD,Cargo,,Г
14324,FORD,F-SERIES,,Л
11011,FOTON,AUMAN,,Г
11014,FOTON,AUMARK,,Г
38119,FOTON,BISON,,Л
37900,FOTON,BJ-Bus,,А
38863,FREIGHTLINER,CENTURY,,Г
38525,FUSO (MITSUBISHI),CANTER,,Г
38667,FUSO (MITSUBISHI),COLT DIESEL,,Г
13537,GAZ,GAZON,,Г
13534,GAZ,SADKO,,Г
13541,GAZ,VALDAI,,Г
7968,GINAF,C-Series,,Г
7969,GINAF,X-Series,,Г
38114,GMC,6-Series,,Л
11065,GOLDONI,Boxter,,С
11064,GOLDONI,Ronin,,С
11063,GOLDONI,Series-100,,С
8601,GRUAU,MICROBUS,,А
10406,GUELDNER,A,,C
10407,GUELDNER,Multitrak,,C
37821,GÜLERYÜZ,COBRA,,А
37887,HATTAT TRAKTÖR,200 Series,,С
37888,HATTAT TRAKTÖR,A Series,,С
37856,HATTAT TRAKTÖR,B Series,,С
37857,HATTAT TRAKTÖR,C Series,,С
37889,HATTAT TRAKTÖR,H Series,,С
37885,HATTAT TRAKTÖR,T Series,,С
11926,HEULIEZ,GX,,А
38367,HICOM,MTB,,Г
37650,HINO,AK,,А
11607,HINO,CITI BUS,,А
38300,HINO,DUTRO,,А
10523,HINO,FD,,А
11608,HINO,KING,,А
10528,HINO,RB,,А
10526,HINO,RK,,А
37649,HINO,RM,,А
10530,HINO,RN,,А
11606,HINO,ROADLINER SUPREME,,А
10596,HINO,Serie 300,,А
10532,HINO,Serie 500,,А
10813,HINO,Serie 700,,А
37651,HINO,XZ,,А
8662,HYUNDAI,AERO CITY,,А
8661,HYUNDAI,AERO TOWN,,А
8671,HYUNDAI,COUNTY,,А
8670,HYUNDAI,HD HEAVY,,А
8664,HYUNDAI,HD LIGHT,,А
8669,HYUNDAI,HD MEDIUM,,А
8665,HYUNDAI,SUPER AERO CITY,,А
8666,HYUNDAI,UNIVERSE,,А
36718,INBUS,AS 280,,А
10087,INTERNATIONAL HARV.,1455,,С
10084,INTERNATIONAL HARV.,743,,С
10085,INTERNATIONAL HARV.,844,,С
10086,INTERNATIONAL HARV.,856,,С
9770,INTERNATIONAL HARV.,A-Series,,С
3249,INTERNATIONAL HARV.,B-Series,,С
9771,INTERNATIONAL HARV.,CM-Series,,С
576,INTERNATIONAL HARV.,C-Series,,С
2853,INTERNATIONAL HARV.,D-Series,,С
9772,INTERNATIONAL HARV.,Maxxum,,С
6361,IRISBUS,ACCESS BUS 127,,А
8276,IRISBUS,AGORA,,А
36974,IRISBUS,ARES,,А
6358,IRISBUS,ARWAY,,А
6365,IRISBUS,AXER,,А
6359,IRISBUS,CITELIS,,А
37652,IRISBUS,CITYCLASS,,А
8599,IRISBUS,CREALIS,,А
6357,IRISBUS,CROSSWAY,,А
6356,IRISBUS,DAILY TOURYS,,А
6367,IRISBUS,DOMINO,,А
37653,IRISBUS,EUROMIDI,,А
37655,IRISBUS,EUROPOLIS,,А
37654,IRISBUS,EURORIDER,,А
6360,IRISBUS,EVADYS,,А
37661,IRISBUS,ILIADE,,А
7897,IRISBUS,MAGELYS,,А
37663,IRISBUS,MIDIBUS,,А
37662,IRISBUS,MIDIRIDER,,А
8600,IRISBUS,PROWAY,,А
6364,IRISBUS,RECREO,,А
37831,IRIZAR,i2,,А
37846,IRIZAR,i3,,А
37851,IRIZAR,i4,,А
37853,IRIZAR,i6,,А
37832,IRIZAR,i8,,А
10225,IRIZAR,PB,,А
14475,ISUZU,F-Series FORWARD,,Г
11901,ISUZU,GRAFTER,,Г
601,ISUZU,N-Serie (5th Generation),,Г
10314,IVECO,370,,А
10504,IVECO,City Class,,А
36646,IVECO,CROSSWAY,,А
3421,IVECO,EuroCargo I-III,,Г
36611,IVECO,EuroCargo IV,,Г
10955,IVECO,EuroFire,,Г
3873,IVECO,EuroStar,,Г
3974,IVECO,EuroTech MH,,Г
3905,IVECO,EuroTech MP,,Г
3871,IVECO,EuroTech MT,,Г
3874,IVECO,EuroTrakker,,Г
3869,IVECO,M,,Г
13314,IVECO,MAGELYS,,Г
3868,IVECO,MK,,Г
3870,IVECO,P/PA,,Г
4065,IVECO,P/PA-Haubenfahrzeuge,,Г
14340,IVECO,PowerStar,,Г
4927,IVECO,Stralis,,Г
8753,IVECO,Strator,,Г
13821,IVECO,Tector,,Г
5483,IVECO,Trakker,,Г
13307,IVECO,TurboCity,,Г
3872,IVECO,TurboStar,,Г
3882,IVECO,TurboTech,,Г
13316,IVECO,URBANWAY,,Г
13822,IVECO,Vertis,,Г
3867,IVECO,Zeta,,Г
11118,JCB,FASTTRAC,,С
11903,JOHN DEERE,Series 2050,,С
14853,JOHN DEERE,Series 3000,,С
14857,JOHN DEERE,Series 3010,,С
11873,JOHN DEERE,Series 4000,,С
11122,JOHN DEERE,Series 5,,С
14894,JOHN DEERE,Series 5000,,С
14898,JOHN DEERE,Series 5010,,С
14899,JOHN DEERE,Series 5015,,С
11856,JOHN DEERE,Series 5020,,С
11123,JOHN DEERE,Series 6,,С
14909,JOHN DEERE,Series 6000,,С
11857,JOHN DEERE,Series 6010,,С
11866,JOHN DEERE,Series 6020,,С
11896,JOHN DEERE,Series 6030,,С
11124,JOHN DEERE,Series 7,,С
14917,JOHN DEERE,Series 7000,,С
14918,JOHN DEERE,Series 7010,,С
11870,JOHN DEERE,Series 7020,,С
11907,JOHN DEERE,Series 7030,,С
11231,JOHN DEERE,Series 8,,С
14920,JOHN DEERE,Series 8000,,С
14921,JOHN DEERE,Series 8010,,С
14924,JOHN DEERE,Series 8020,,С
11875,JOHN DEERE,Series 8030,,С
11235,JOHN DEERE,Series 9,,С
14925,JOHN DEERE,Series 9000,,С
14926,JOHN DEERE,Series 9020,,С
14927,JOHN DEERE,Series 9030,,С
9040,KAMAZ,4,,Г
9041,KAMAZ,5,,Г
9042,KAMAZ,6,,Г
37665,KAROSA,C-Series,,А
14823,KARSAN,ATAK,,А
14821,KARSAN,JEST,,А
14824,KARSAN,STAR,,А
13138,KAVZ,AURORA,,А
14366,KIA,GRANBIRD,,А
10867,KING LONG,XMQ,,А
37931,KIOTI,Series CK,,С
37930,KIOTI,Series CS,,С
37933,KIOTI,Series DK,,С
37932,KIOTI,Series NX,,С
37934,KIOTI,Series PX,,С
11125,KIOTI,Series RX,,С
9747,KRAMER,14-Serie,,C
9751,KRAMER,KA-Serie,,C
9752,KRAMER,KB-Serie,,C
9993,KRAMER,KL-Serie,,C
9763,KRAMER,KLS-Serie,,C
9748,KRAMER,K-Serie,,C
9764,KRAMER,KT,,C
9765,KRAMER,Pionier,,C
11054,KUBOTA,Series-M,,C
13492,LAMBORGHINI,CRONO,,C
13482,LAMBORGHINI,MACH,,C
13483,LAMBORGHINI,NITRO,,C
13503,LAMBORGHINI,R1,,C
13484,LAMBORGHINI,R2,,C
13637,LAMBORGHINI,RF / RS / RV,,C
13481,LAMBORGHINI,SPARK,,C
13480,LAMBORGHINI,SPIRE,,C
13330,LAMBORGHINI,STRIKE,,C
12875,LANDINI,ALPINE,,C
13066,LANDINI,GLOBALFARM,,C
13048,LANDINI,LANDPOWER,,C
12873,LANDINI,MISTRAL,,C
12876,LANDINI,POWERFARM,,C
13021,LANDINI,POWERMONDIAL,,C
13074,LANDINI,REX,,C
